Category,Title,Location,Amount_Raised,Goal,Days_of_Fundraising,Number_of_Donors,FB_Shares,Text
Creative,Working Class BIPOC at CCA Fundraiser,"Emeryville, CA",21916.0,35000.0,146,207,147,"MISSION STATEMENT:Creativity Takes Courage. Courage Takes Community: Students in Solidarity with their Working Class, BIPOC Classmates.On behalf of the 24 Frames Animation Club, the Black Brilliance Club, the Students of Color Coalition, Student Council, CCA Student Union, we ask for your donations to support our working-class and BIPOC classmates.We have teamed up to catalyze the change necessary to make our school viable for all of its students. The astronomical cost of living in the Bay Area combined with an annual tuition of over $50,000 make it nearly insurmountable for many to attend, let alone thrive, at CCA.  'CCA's student body is 14% Asian American, 13% Hispanic/Latinx, and 4% African American' —an unacceptable disconnect between higher education and the BIPOC artist community in the Bay Area.During this time of COVID and a global Black Lives Matter Civil Rights movement, these students are particularly vulnerable. With your help, we can remove some of the hurdles they face in meeting their living expenses and buying art supplies.All proceeds will go toward unrestricted grants to working-class and BIPOC students to meet their most pressing needs to remain in school. Our goal is to provide a grant to every qualified student that applies.The arts have always been closely intertwined with social change and are vital for community engagement through sharing information, envisioning a peaceful and just society, and most importantly, humanizing voices and fears that are often unheard. Creativity takes courage and courage takes community. Be part of the community that uplifts the BIPOC community in the most visibly vibrant way possible and support our effort! Thank you!We are now fiscally sponsored by SOMArts based in San Francisco. ""SOMArts leverages the power of art as a tool for social change through multi-disciplinary events and exhibitions. Equipping artists with the space, mentorship and support they need to shift perspectives and innovate solutions, SOMArts fosters access to arts and culture for collective liberation and self-determination"".Recipients:-Working-class Black Indigenous Students of color prioritized-CCA student-Application is required"
Creative,Get Your Booty to the Poll Run Off Edition,"Tucker, GA",31024.0,50000.0,135,505,1.5K,"We're so glad we got your attention, but we still need your help! We are back to our day jobs, so we need to hire a social media manager and a community organizer to keep the campaign going. Voter apathy and suppression is real, and we want to keep people informed and engaged throughout this election cycle. We'd even like to shoot another PSA!- if we have enough support! As before, all proceeds not used for the campaign will be donated to the Black Male Voter Project, Fair Fight, and other non-profits committed to educating voters and fighting voter suppression in our communities. Thank you for all of the support, and don't forget to Get Your Booty to the Poll!Angela and PaulPaul Fox (producer)Angela Gomes (director)P.S. if you have in kind services you would like to donate, please email us at [email redacted]"
Creative,An art space for QBIPOC creatives in MPLS,"Minneapolis, MN",21906.0,20000.0,120,469,420,"
My name is Vanessa McDuffie—I’m a special education teacher, a writer, local creative and a community advocate from Minneapolis. As a dark skinned queer femme womxn living in the Midwest, I’ve had to carve out my own representation along my journey to self acceptance.  It hasn’t been easy, but my community has looked out for me in ways that I will forever be grateful for.Representation has come a long way since the time I was searching for it in so many white spaces..

But it needs to go further...I’m ready to carve out another piece of it. Not for me, but for the queer folx coming up behind.

NUE BEDFORD is an art gallery DEVOTED to uplifting the QUEER BIPOC voices of Minneapolis. The idea is to have a unified space to house local art of the queer community in a safe, loving, supportive environment. It’s this generation’s job to continue the goal of visibility for our queer siblings so they can see themselves sooner than we did.

This is a dream I’ve had my entire life. My existence is devoted to the art world and community service of Minnesota, and I intend to do my part to highlight the queer BIPOC artists who want space to express and my the world brighter. 

Community & allies: please help make this big  dream become a reality. 

We need a space!! Help us make it possible to rent a space to (eventually!) create workshops, pop up shops, gallery events and networking opportunities for an inclusive Minneapolis art scene. As of now, funds will go to the following:-space to rent-website and logo-marketing budget -events budget 

We’re starting slow—we need a space, but it won’t be physically     available to the public until the end of the year (due to Covid). But there’s plenty of work to do before then. 
"
Creative,Save IAF!,"North Hollywood, CA",21294.0,155000.0,103,181,112,"*See donation tier breakdown below

Dear friends, IAF family and dance communityIt is with a heavy heart but one full of hope that I write this message. Like so many small studio owners, the COVID-19 pandemic has brought unforeseen challenges, new obstacles, and has forced us to temporarily shut our doors. Today, with Los Angeles being one of the hardest hit areas and the pandemic still raging on, it pains me to announce that this has led to the closure of our IAF Compound.MY STORY:When I first moved to Los Angeles eight years ago to compete on So You Think You Can Dance, I was inspired not only by the talent that is attracted to LA, but also the diverse and supportive dance community that I was becoming a part of. Knowing that not all dancers could afford private academies, I created IAF with the intention of helping young dancers find their passion and to help older dancers forge their unique talents into artistry. Two years ago, I opened the IAF Compound in North Hollywood to provide a safe and welcoming space for dancers to explore their own creativity, refine their technique, and collaborate with one another. It has been a journey filled with so much love and passion that I have poured just as much of my heart and soul into IAF as you all have.COVID IMPACT:Before COVID-19 hit, I decided to invest in a new state of the art sprung flooring system by Harlequin Floors. For me, this immense financial undertaking was an important step towards being a responsible studio owner. Unfortunately, it has added to the mounting financial burdens this pandemic has brought on.As a result I have no choice but to let go of the current space. While the IAF Compound will be officially closing its doors in September, I am doing everything in my power to keep my vision for this brand alive. In a last effort to save IAF, I decided to downsize to a smaller, more affordable space for the time being, in hopes that we can continue providing the dance community with classes and programs. THE ASK:I am turning to the most extraordinary people I know. You who inspire me. You who collaborate with me. You who grow with me. And you who make this all possible. In launching this campaign, I am hoping to not only recuperate from the financial losses IAF has experienced, but to open our doors even wider for our dance community to recover in the months to come. My hope is that this campaign will allow us to continue to create, educate and inspire! Despite the uncertainty of the future, the IAF Team has remained committed to our mission of providing high-quality dance training and a creative outlet. We are continuing to develop new ways of reaching our dancers through our online platform, IAF Prime. With our new, downsized location, we will be able to film and produce content for dancers. It will also provide dancers with a space to return to their craft once the pandemic has passed. The future of the IAF is at stake, but I have faith that with your support, we will be able to see this through. Any donation, no matter the amount, would be greatly and sincerely appreciated. Every single donation will get us one step closer to opening our doors.OUR GOAL:Our goal is to raise $155,000.This number largely reflects our operational costs and monetary loss as a result of the pandemic. Additionally, it reflects the funds needed to support our promise to the dance community:IAF PLEDGE:If we reach our goal of raising $155,000,  IAF pledges to be the first LA dance studio to offer free dance training for all  dancers who donate to our cause.**See donation tier breakdown belowOur mission is to use this campaign as a means to support dancers that can’t afford classes and quality training due to months of being out of work. As we receive your support, we feel it is imperative to do our part in giving back and helping the dance community get back on its feet.I want to thank everyone who has stood by IAF during these difficult times. I will continue to work tirelessly on maintaining IAF as a stronghold for creativity and artistry within the dance community. Your support means the world to me and I hope that I can continue to pay it forward.With the utmost gratitude,Chehon Wespi-TschoppEXPENSE BREAKDOWN:LOSS: $73,253 (INCLUDES RENT, UTILITIES, STAFF AND TEACHER PAY DURING 5 MONTHS OF SHUT DOWN)MONTHLY EXPENSES: $18,700 / MONTH (INCLUDES RENT, UTILITIES, STAFF AND TEACHER PAY)DONATION BREAKDOWN: *Complimentary class cards include IAF OPEN MASTER CLASSES*All classes, including IAF OPEN MASTER CLASSES, are redeemable through December 31, 2021Up to $99 Donation:IF WE REACH OUR GOAL, YOU GET: Complimentary 1 month class card$100 Donation: GUARANTEED: Complimentary 1 month class card (Up to 12 free classes)IF WE REACH OUR GOAL, YOU GET:  Complimentary 2 month class card (Up to 24 free classes)$300 Donation: GUARANTEED: Complimentary 2 month class card (Up to 24 free classes)IF WE REACH OUR GOAL, YOU GET: Complimentary 3 month class card (Up to 36 free classes)$500 Donation:GUARANTEED:- Complimentary 2 month class card (Up to 24 free classes)- Priority registration for all IAF Master classes- Redeemable until December 2021IF WE REACH OUR GOAL, YOU GET: - Complimentary 3 month class card (Up to 36 free classes)- Priority registration for all IAF Master classes- Redeemable until December 2021$1,000 Donation: GUARANTEED:- FIRST 10 PEOPLE TO DONATE AT THIS TIER WILL RECEIVE PRIVATE MASTER CLASS WITH ONE OF OUR IAF  CHOREOGRAPHERS- Complimentary 2 month class card (Up to 24 free classes)- Priority registration in all IAF master classes- Redeemable until December 2021IF WE REACH OUR GOAL, YOU GET:- FIRST 10 PEOPLE TO DONATE AT THIS TIER WILL RECEIVE PRIVATE MASTER CLASS WITH ONE OF OUR IAF CHOREOGRAPHERS- Complimentary 3 month class card (Up to 36 free classes)- Priority registration in all IAF master classes- Redeemable until December 2021$2,500 Donation: GUARANTEED:- NAME ADDED TO OUR DONOR RECOGNITION WALL, DISPLAYED IN OUR NEW STUDIO SPACE- FIRST 10 PEOPLE TO DONATE AT THIS TIER WILL RECEIVE PRIVATE MASTER CLASS WITH ONE OF OUR IAF CHOREOGRAPHERS- Complimentary 2 month class card (Up to 24 free classes)- Priority registration in all IAF master classes- Redeemable until December 2021- One VIP ticket to any IAF performance or showcase for the 2020/2021 seasonIF WE REACH OUR GOAL, YOU GET:- NAME ADDED TO OUR DONOR RECOGNITION WALL, DISPLAYED IN OUR NEW STUDIO SPACE- FIRST 10 PEOPLE TO DONATE AT THIS TIER WILL RECEIVE PRIVATE MASTER CLASS WITH ONE OF OUR IAF CHOREOGRAPHERS-Complimentary 3 month class card (Up to 36 free classes)-Priority registration in all IAF master classes- Redeemable until December 2021-One VIP ticket to any IAF performance or showcase for the 2020/2021 season$5,000 Donation:GUARANTEED:- NAME ADDED TO OUR DONOR RECOGNITION WALL, DISPLAYED IN OUR NEW STUDIO SPACE- FIRST 10 PEOPLE TO DONATE AT THIS TIER WILL RECEIVE PRIVATE MASTER CLASS WITH ONE OF OUR IAF CHOREOGRAPHERS- Complimentary 2 month class card (Up to 24 free classes)- Redeemable until December 2021- Priority registration in all IAF master classes- Redeemable until December 2021- Two VIP tickets to any IAF performance or showcase for the 2020/2021 season- Private studio tour with IAF Director Chehon prior to re-openingIF WE REACH OUR GOAL, YOU GET:-NAME ADDED TO OUR DONOR RECOGNITION WALL, DISPLAYED IN OUR NEW STUDIO SPACE-FIRST 10 PEOPLE TO DONATE AT THIS TIER WILL RECEIVE PRIVATE MASTER CLASS WITH ONE OF OUR IAF CHOREOGRAPHERS- Complimentary 3 month class card (Up to 36 free classes)- Redeemable until December 2021- Priority registration in all IAF master classes- Redeemable until December 2021- Two VIP tickets to any IAF performance or showcase for the 2020/2021 season- Private studio tour with IAF Director Chehon prior to re-openingIf you wish to donate above our listed donation tiers, please reach out to us at admin @ iamforce . com  to receive information on our elite donor packages."
Creative,Save Our Theatre,"Corpus Christi, TX",21268.0,50000.0,91,273,2.7K,"The year began with such promise — our 10th Anniversary celebration! What was to be a season filled with rejoicing, would quickly turn into our biggest struggle. The year promised to be one of celebration where friends old & new would rejoice in the plays, actors, and community events that have made the Aurora Arts Theatre what it is today. Eddie Chapa realized his dream of establishing a theatre in 2010, but sadly, he was only able to see its success for one short year, as he passed away in February of 2011. While that was a devastating day for all of us, I found comfort in knowing the happiness that the theatre brought to his life. While I felt the overwhelming love of Eddie’s family and my own, I soon realized I had yet another family I could turn to — my theatre family. They rallied around me, and the theatre soon became my refuge. With the tremendous encouragement and support I received from the community, I realized that the theatre had not only been my refuge, but also the refuge for many who also found solace, cheer, and a sense of belonging at the Aurora.The Aurora has been fortunate to be a part of such a great community for the past 10 years. When we produce a play or a musical, we instantly become a part of something much bigger than the production itself. We renew and create friendships, share ideas, comfort those in need, and share a burst of laughter that just seems to make our day. Whether it be watching or participating in a play, volunteering, or simply having conversations across the concession counter with our great volunteers, the Aurora certainly satisfies a need. The theatre has a unique way of providing a safe space for all and helping those who enter feel right at home. We are always honored and privileged when you, our community, include us in your special moments such as weddings, baptismal celebrations, birthdays, graduations, etc. We look forward to being able to share those celebrations and experiences once again. But now, the Aurora Arts Theatre is in danger of closing its doors forever. The pandemic has affected us all, and while we continue with different activities such as curbside popcorn, cinema nights, t-shirt sales, etc. to bring in revenue, it is just not enough. While these activities do help, they are not sufficient to cover the mounting expenses each month. We know that many find themselves in the same plight as we navigate our emotional struggles and financial constraints, and we are uncertain about what the future holds. The Aurora also faces seemingly insurmountable struggles as restrictions placed on venues such as the Aurora have resulted in significant financial loss. We are humbled by friends that have already contributed to the theatre — you fill our hearts. Now, the Aurora Arts Theatre humbly asks family, friends, and community to help us get through this terrible time. Please know that any contribution is greatly appreciated and will be used to help keep our doors open as we look forward to the day when we can once again call “places” and experience the wonder of live theatre."
Event,"Patriots, God & Country    (formerly Patriot Tour)","Phoenix, AZ",37791.0,150000.0,105,185,510,"IMPORTANT UPDATE:  The Patriot Tour has had a Name ChangeThe Patriot Tour has been renamed, twice, in the past few days. We first added ""USA"" to the name but have since changed it once again to Patriots, God, and Country (PG&C) because the first two names were too similar to another organization's work, which has caused some confusion. We are all in this for the same reason, a selfless calling to serve and support those in need, show gratitude to those who have served this country, and to be grateful for all we have been blessed with as Americans. Thank you for your support and please join me in celebrating our new name!THE TOUR:Patriots, God and Country (PG&C) is a ~28 city, cross country tour honoring our amazing nation, what it means to be an American and our duties to keep our freedoms alive! It is a call to action for American Patriots to come together in communities nationwide to celebrate the United States of America, teach our children that the Constitution is the foundation of our freedoms, and to support the people on the front lines who maintain our way of life, the military and police. Our nation's climate, fueled by the media, is currently negative and divisive. We must speak up and change the rhetoric. Our trucks carry hope and healing to the people. They leave in their wake a sense of purpose, love of country, a passion to get out and vote in the upcoming election. Our voices will be heard!Visit our Website at: www.patriotsgodandcountry.comFUNDING NEED:  IMMEDIATEThis fundraiser will cover the costs of this nationwide tour which include:*Patriotic wraps on a minimum of 5 firetrucks/vehicles*Maintenance, tires, fuel, and insurance for the trip*Purchase of two additional vehicles for the tour*Food, lodging, tour shirts and liability insurance for the tour drivers*Marketing and media coverageWHERE ARE WE GOING:5 Patriotic Firetrucks traveling to ~20 cities in 34 days, from Phoenix to Washington D.C. beginning October 1st and ending November 5th.The PG&C trucks celebrate that which makes America a great nation:*Civil Rights (equality for all) & Liberties (freedom of religion, speech, etc.)*Our Military and Police*Our National Landmarks & Monuments*Our Iconic Leaders, Innovators and Change Champions*Our Children, Our Future Our Tour Stops Will:*Celebrate life, liberty, and justice for all*Renew appreciation for our country*Bring love, hope, and healing to communities nationwide*Make “One nation, under God, indivisible” our mantra again*Light the fire of change and rally the masses"
Event,Help with post-exoneration expenses!,"Ann Arbor, MI",35846.0,36000.0,213,684,562,"Kevin Harrington was exonerated and released from prison on Tuesday,  April 21st after being incarcerated for 17 years--since he was a 20 year old college student--for a crime that he did not commit. Exonerees confront numerous challenges as they adjust to the world and their freedom under normal circumstances. Covid-19, however, presents a unique set of obstacles. Kevin must self-isolate for two weeks in a hotel before reuniting with his family. The generosity of Michigan Law students has ensured that he will have meals delivered for the entirety of his quarantine. Once that is over, Kevin will need to obtain basic life necessities -- beginning with a place to live and a means of transportation. Kevin will likely be entitled to some form of civil compensation, but that is a long and grueling process that can take months or even years. Your support will mean that Kevin can hit the ground running with the resources he needs for his life as an exonerated man. We have had the privilege of working as Kevin's student attorneys this past year with the Michigan Innocence Clinic. The first time he spoke with us, he told us that he knew that ""this was the year he would walk out of prison.""  Kevin’s relentless optimism never wavered. Kevin wrote a brief in his own defense and helped other inmates with their legal proceedings while incarcerated.  Now that he's free, he hopes to create a more equitable criminal justice system and work on behalf of the wrongfully incarcerated.You can learn more about Kevin's story here: https://www.nbcnews.com/news/crime-courts/exonerated-man-freed-prison-now-hotel-quarantine-i-could-watch-n1192326"
Event,Ernie's Al Fresco Appreciation,"Pasadena, CA",35662.0,30000.0,46,725,831,"Dear Ernie family,As some of you may have heard, Ernie is closing Ernie’s Al Fresco for now. After 30 years of fueling work at and around Caltech, this is the end of an era.In these crazy times, more than ever, we could all use some of Ernie,  Lucy, and Delma’s phenomenal specials, a solid plate of chilaquiles with ‘painful green’, Al Pastor tacos, or even the occasional ribs with nopales.Unfortunately, many of us have been working off campus, or odd hours, unable to visit Ernie’s. This gofundme will be gifted to Ernie, and is intended to provide an opportunity to show our appreciation to Ernie, Lucy, and their fellow workers.To echo Ernie’s own sentiment: we will miss Ernie as our father figure and affectionate friend.Thank you,"
Event,Celebrating The Life and Legacy of Mike Mudge,"Long Beach, CA",31780.0,20000.0,139,128,1.3K,"On July 5, 2020 heaven gained an angel when our beloved, Michael Mudge (37 years old), died tragically in a car crash in San Diego, CA. Mike is survived by his 1 year old son, mother, brother, amazing friends and loving family members who would do anything in the world to see his smile and hear his voice again. He was his mother’s rock, his brother’s best friend, and loved more than anything in the world being a father to his one year old son, Rowan. While Mike left the Earth too soon, he will always be remembered for his one-of-a-kind, selfless, larger than life personality. Mike had the biggest heart for kids, dogs, adventures, and life. He was everyone’s friend, loved to listen, learn, help, and especially talk. He was an incredible athlete, the hardest worker anyone knew, an incredible father, and touched the lives of every person who knew him.We ask that if you have it in your heart to help Mike’s family and his legacy, please donate below. All funds go directly to his mother, Deeann Springmeyer, to assist in arranging a proper send off to remember the amazing and loved man Mike Mudge was. In addition, the remainder of funds will go to supporting his son, Rowan Andrew, as he grows up.We would love for you to share photos, videos, or your favorite memories with Mike, for his family and son to have and  connect with the amazing group of people he had all around him.His family is so appreciative of all of the outpouring of love, prayers, and support they have received. If you feel inclined, please “share” this GoFundMe to your Facebook to help spread the word to all who loved and knew Mike and his grieving family."
Event,Friar Nation Graduation Celebration  2020,"Clarendon Hills, IL",27735.0,26500.0,128,188,229,"The Friar Nation Graduation Celebration 2020 Fund has been established to pay for the costs associated with an outdoor  graduation celebration to be held in The Allstate Arena Parking Lot on Saturday, July 25th at 6:00 pm. This event is being sponsored by parents of the Senior Class.  Masks are required to attend the event. CDC Social Distancing Guidelines will be strictly followed by all in attendance. The costs include the following expenses: Sounds, Lights, Video, Staging, Labor, Commemorative Graduation event t-shirt, and miscellaneous expenses.All proceeds will be directly paid to the Event Production Company: Binaangel Inc. 10024 Edelle Dr., Rosmeont, Il 60018.  Any surplus of funds will be split evenly between The Fenwick High School Mothers' and Fathers' Clubs. The Fenwick Senior Class of 2020 has missed out on numerous traditional Senior events and activities including Prom, The Mothers' Club Senior Brunch, all spring sports, The Spring Musical, the completion of some winter sports, and the final months walking the halls of Fenwick. Our Friars deserve a proper send-off to celebrate their achievements as graduates of Fenwick. We are grateful for any donation amount."
Event,MOMS UNITED FOR BLACK LIVES (PDX & NYC to DC),"Portland, OR",26903.0,25000.0,112,716,1.7K,"The world is in the midst of quite possibly the largest civil rights movement in US history . And Portland, Oregon & NYC have been in the national spotlight  for the last several weeks as examples of the brutal, disproportionate response from the local, state and federal government toward the civil rights protestors of the Black Lives Matter movement. Now, Moms United for Black Lives both Portland and New York City chapters are looking to take that tenacity to Washington DC to advocate for their communities and build solidarity on behalf of their cities during the upcoming August 28th March on DC. New York took note of the hardship faced by the Black community in Portland, because that struggle is not unlike the struggle in NYC. Now, these two cities are joining together in solidarity to amplify one another's work. This bicoastal team of activists and organizers will be uniting for the March on Washington DC on the 57th anniversary of  Martin Luther King’s march on our nation’s capital.  These activists are leaders in their communities; they deserve the opportunity to exercise their rights and speak truth to power in Washington DC. Let's help them get there. Money will be used for:-Roundtrip airfare from PDX & NYC to DC (expensive this close to the date)-Rental cars-Lodging accommodations -Appropriate PPE -Food Extra funds will be shared in mutual aid for community to assist with:  -Hospital expenses-Legal expenses-Housing costs-Food-TransportationOregon has a long history of white supremacy and racism . It was illegal to be Black in the state until 1926 , less than 100 years ago. This racist history permeates everything from public policy to policing. It also greatly informed how the city of Portland came to be “the whitest city in America ” a moniker that still applies today. Daily life as a Black American living in Portland & NYC is –in itself– an act of resistance. According to the most recent census , Oregon’s population is nearly 87% white with only 2.2% being Black or African American and Portland  is 77% white with a 5.8% Black or African American population. So it’s no surprise that the white majority has maintained the below status quo treatment of Black residents and that the Black Lives Matter movement here has been met with such a violent response from elected officials. The ongoing fight for racial justice in Portland & NYC is the fight for racial justice everywhere. These activists are ready to further amplify the voices of their community to a national audience at the march on DC. Please donate today to help these Black revolutionaries take this fight for Black Lives straight to DC’s doorstep. Your support is critical to amplifying the ongoing work and voices of these Black activists who have been doing this work their entire lives. It’s also crucial to sustaining the pressure for systemic change and momentum for Black Lives Matter. No justice. No peace."
Event,BLACK OUT at the CHOP,"Seattle, WA",25493.0,12000.0,162,613,1.4K,"Hi all,Yesterday on Juneteenth, we held a glorious 12 hr celebration of our ancestors and our freedom.  Despite gofundme hindering our access to these funds for whatever reasons. We still managed to cover the following expenses from yesterday's event. - Facilitators who were paid 300 each and will be retroactively paid additional funds when we are given access. - Caterers, who provided individually packaged meals for lunch and dinner with various options to accommodate dietary restrictions. -  A DJ, Pa system, speakers, and a generator for the duration of the event plus one tech person to man the PA all day and attend to any issues as they came up. - All manner of supplies that weren't donated, such as art supplies tables, chairs, ect. - Y-WE trained affinity leaders who led volunteers and facilitated a virtual de-escalation training for all non-black allies that were on the ground as support all day.- Candles, blankets, and other trinkets for both the ancestor's altar and the releasing altar made available to participants during the grief circle. - A black film team to allow our participants to individually share their stories of black healing and liberation. *We are happy to report that we fully supported/paid all-black facilitators and businesses for all of our event needs and staff. We are so grateful to the organizations and people who supported us with donations of masks, supplies, first-aid kits, onsite medics, pastries, snacks, water bottles, fruit,  our CHOP family and our recruited ally team who attended the training and showed up with gentle ferocity to hold the space and educate those who showed up to challenge the necessity of all black healing spaces. The remaining funds will be used to cover two more event days centering healing for the black community which will take place on June 26th and 27th from 9 am-8 pm.  Again we will use the funds to cover the following:- 15 Black facilitators for art circles, grief rituals, writing circles, herbalist,  yoga, meditation, collective altar building, peace circles, orisha dance sessions etc. - To pay a professional photographer to cover both days events.- Art supplies, flower crown building supplies. - film editors to piece together the healing black stories collected. - film people for the healing black story booth round 2- Y-WE affinity leaders to train allies and serve as support staff for the duration of both events. - caterers for breakfast, lunch, and dinner on both, days. - gift bags to thank the facilitators.  -website and graphic designer to make information about facilitators, organizers, and events easier to find. - and any additional related expenses that arise. *again we will be supporting black-owned business and people with all the funds (Reparations we raised for this event). For inquiring minds who would like to know here's a bit of information about the organizers1. Mary Hall-Williams: I am a 25yr old University of Washington student. I study Medical Anthropology and Global Health, maintain a 4.0 and am conducting honors research on ""Intentional and Automatic Coping Mechanisms in Response to Viral Black Death and Racism. I am a former youth Pastor. I have worked in the past with African American Reach and Teach Health Ministry (AFRATH ) on community health initiatives and sustainability and gardening initiatives for youth including the formation of a community garden and art mural. As a lead teacher at The Good Shepherd's Childcare Center. As a teacher and youth leader at Medhane-Alem Ethiopian Church of Seattle. and with youth organized homeless outreach in downtown Seattle. It's deeply irritating that we are being asked to further prove ourselves and our competence to get funds released as if our previous explanation wasn't enough. 2. Reagan Jackson (co-organizer and Director at Y-WE lead) is amazing. If you don't know about Y-WE lead I encourage you to google them and support this amazing non-profit that continues to support youth in Seattle.  Further, she is an awarded author, who has penned books, facilitates writing classes, writes columns and thinks pieces, recently taught a class at Seattle University, and who believed that we could pull off an event in 72hrs and then spent 14hrs with me out on the ground making it happen. Additionally, I would like to offer a radical reminder that black women do not owe you an explanation and that we appreciate the ways you supported not only the Amazing healing space that we made happen in 72hrs on limited energy while also working our regular job shifts and managing being human beings, but also the ways you support the black community at all times by being allies and doing the anti-racist work necessary to make the words ""all black healing space"" less controversial. Thank you to those who have donated and thank you in advance to gofundme for releasing the funds instead of being a further hindrance to what we are building for our community in a time where the hypervisibility of black death and racism are exasperated and causing the black community daily emotional distress."
Event,June Joplin: The Next Chapter,"New Orleans, LA",23730.0,125000.0,125,249,718,"On June 14, 2020, our friend June boldly and beautifully came out as a transgender woman. On July 20, June was fired from her job as a senior pastor. We are building a team around June and her family as they prepare for an uncertain future. As part of Team June, you can help alleviate some financial burdens during this time of transition. Help June with the expenses of life as she moves into this next chapter of her story so she is free to do so slowly and steadily, in wholeness and with boldness.We, her friends, have set an ambitious goal because we want to anticipate both short-term and long-term needs. We know her influence has already been far-reaching, and we trust your generosity and support will be as well. No matter what we raise, the whole of it will reach June and will speak to her of our tremendous love for her and our belief in this next chapter of her story.If you're still reading and would like to know a little more, particularly about that ambitious goal, we believe that living as her authentic self may cost June a livelihood for some time--beyond any benefits or severance she may receive. She is a great pastor and an excellent preacher, but we know that full-time pastorates for trans women are few and far between. In fact, transgender individuals in Ontario face three times the national unemployment rate, according to transequalitycanada.com. In June's sermon on June 14, she preached about holding this precious pearl, and brilliantly shared her story with the world. We know that living as their authentic selves costs too many trans people everything, and June's bold life is one we are all so lucky to witness. By contributing to Team June, you are helping to make your love known by alleviating some of the enormous costs of life."
Event,Tesoro Class of 2020  Celebratory Car Event,"Coto de Caza, CA",21525.0,16000.0,186,217,432,"**If you are a Tesoro senior parent, please visit the event registration page on Eventbrite to register and sign the waiver to participate. https://www.eventbrite.com/e/tesoro-2020-car-celebration-event-registration-106284226984?ref=eios

****wow! Goal met, but let’s keep going!! The more we raise the bigger and better the celebration❤️ you all are amazing!!
*** if we go over our goal, 100% of all raised goes back into the event and just means more surprises for our seniors!! 
Help the 2020 Seniors of Tesoro have a Celebratory Event!!!These unprecedented times have been tough on all of us, especially our Tesoro 2020 Seniors.  While our district is still trying to plan a graduation date to honor our children in July, we wanted to do something to celebrate them on their original graduation date of June 4th, 2020. While our district and school cannot sponsor our event, our event will not be prevented. With much orchestration, we are celebrating our seniors on June 4th, 2020 with a Senior Celebratory Car Parade from 3:00-5:00. This is not a graduation or taking the place of any other CUSD event. Again, this is NOT a Tesoro or CUSD sponsored event. Our small committee is working with an event company to help plan and operate this event. This drive-thru celebratory car parade will follow all traffic and social distancing guidelines. No exiting from their vehicles allowed. The event company is running the event and providing all signage and cones, traffic staffing, production staff, and celebratory surprises. We have over 600 seniors and we need this company to assist us in making the event a success. We must raise ALL funds for this event to occur for our children. Any amount helps and will be greatly appreciated!"
